"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
278,http://www.wikidata.org/entity/Q104088186,,cultural-historian,NA,sociology,political-science,identity,278,
279,http://www.wikidata.org/entity/Q1040900,,politician,NA,philosophy,sociology-of-religion,christian-theology,279,
280,http://www.wikidata.org/entity/Q104147114,,writer,NA,NA,NA,NA,280,
281,http://www.wikidata.org/entity/Q104153212,,NA,NA,sociology,NA,NA,281,
282,http://www.wikidata.org/entity/Q104161626,,university-teacher,NA,NA,NA,NA,282,
283,http://www.wikidata.org/entity/Q104184443,,activist,NA,NA,NA,NA,283,
284,http://www.wikidata.org/entity/Q104193124,,politician,NA,NA,NA,NA,284,
285,http://www.wikidata.org/entity/Q104198645,,university-teacher,NA,political-sociology,sociology-of-work,editing,285,
286,http://www.wikidata.org/entity/Q104214888,,writer,NA,sociology-of-religion,judaism,NA,286,
287,http://www.wikidata.org/entity/Q104215021,,NA,NA,NA,NA,NA,287,
288,http://www.wikidata.org/entity/Q104215560,,NA,NA,NA,NA,NA,288,
289,http://www.wikidata.org/entity/Q104233321,,NA,NA,NA,NA,NA,289,
290,http://www.wikidata.org/entity/Q104243467,,researcher,NA,sociology,theology,organization,290,
291,http://www.wikidata.org/entity/Q104272,,university-teacher,NA,NA,NA,NA,291,
292,http://www.wikidata.org/entity/Q104273313,,university-teacher,NA,NA,NA,NA,292,
293,http://www.wikidata.org/entity/Q104376874,,university-teacher,NA,sociology,political-science,NA,293,
294,http://www.wikidata.org/entity/Q104376893,,NA,NA,NA,NA,NA,294,
295,http://www.wikidata.org/entity/Q104382702,,university-teacher,NA,sociology,sociology-of-culture,political-sociology,295,
296,http://www.wikidata.org/entity/Q1044177,,university-teacher,NA,sociology,philosophical-anthropology,NA,296,
297,http://www.wikidata.org/entity/Q1044238,,university-teacher,NA,sociology,ethnology,NA,297,
298,http://www.wikidata.org/entity/Q1044263,,university-teacher,NA,NA,NA,NA,298,
299,http://www.wikidata.org/entity/Q104437883,,NA,NA,NA,NA,NA,299,
300,http://www.wikidata.org/entity/Q104440720,,university-teacher,NA,sociology,NA,NA,300,
301,http://www.wikidata.org/entity/Q104445079,,university-teacher,NA,sociology-of-religion,gender,international-migration,301,
302,http://www.wikidata.org/entity/Q104455300,,NA,NA,NA,NA,NA,302,
303,http://www.wikidata.org/entity/Q104471250,,NA,NA,NA,NA,NA,303,
304,http://www.wikidata.org/entity/Q104479622,,statistician,NA,NA,NA,NA,304,
305,http://www.wikidata.org/entity/Q104485,,writer,NA,political-science,editing,NA,305,
306,http://www.wikidata.org/entity/Q104493814,,university-teacher,NA,sociology,informatics,computer-security,306,
307,http://www.wikidata.org/entity/Q104502262,,educator,NA,NA,NA,NA,307,
308,http://www.wikidata.org/entity/Q104514121,,demographer,NA,NA,NA,NA,308,
309,http://www.wikidata.org/entity/Q104523765,,political-scientist,NA,NA,NA,NA,309,
310,http://www.wikidata.org/entity/Q104525906,,NA,NA,NA,NA,NA,310,
311,http://www.wikidata.org/entity/Q104527080,,NA,NA,NA,NA,NA,311,
312,http://www.wikidata.org/entity/Q104527396,,NA,NA,NA,NA,NA,312,
