person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q11935544,Marina Subirats i Martori,1943,female,Barcelona,POINT (2.176944 41.3825),Southern Europe,Spain,Spain Port.,1971-1995,6127,university-teacher,publisher
http://www.wikidata.org/entity/Q439143,Gillian Rose,1947,female,London,POINT (-0.1275 51.507222),Northern Europe,United Kingdom,United Kingdom,1971-1995,13122,university-teacher,education
http://www.wikidata.org/entity/Q4392714,Abram Reytblat,1949,male,Sakhalin Oblast,POINT (142.6 50.55),Asiatic Russia,Russian Federation,Russian Federation,1971-1995,13125,historian,GLAM
http://www.wikidata.org/entity/Q451359,María Isabel Allende,1945,female,Santiago,POINT (-70.65 -33.4375),South America,Chile,South America,1971-1995,13231,politician,publisher
http://www.wikidata.org/entity/Q4514873,Sergey Chesnokov,1943,male,Soviet Union,POINT (90 65),Asiatic Russia,Russian Federation,Russian Federation,1971-1995,13232,other,publisher
http://www.wikidata.org/entity/Q4517347,Igor Chubais,1947,male,East Berlin,POINT (13.404444 52.518611),Western Europe,Germany,Germany,1971-1995,13235,politician,school
http://www.wikidata.org/entity/Q11731049,Józef Niżnik,1943,male,Łańcut,POINT (22.22912 50.06871),Eastern Europe,Poland,Poland,1971-1995,5883,philosopher,institute
http://www.wikidata.org/entity/Q450412,Richard Sennett,1943,male,Chicago,POINT (-87.627778 41.881944),Northern America,United States,United States Can.,1971-1995,13226,university-teacher,education
http://www.wikidata.org/entity/Q4520283,Vladimir Shapovalov,1946,male,Коммунар,POINT (41.271945 45.8575),European Russia,Russian Federation,Russian Federation,1971-1995,13241,university-teacher,university
http://www.wikidata.org/entity/Q11720343,Janusz Mucha,1949,male,Kraków,POINT (19.937222 50.061389),Eastern Europe,Poland,Poland,1971-1995,5849,university-teacher,publisher
http://www.wikidata.org/entity/Q11717596,Jan Grosfeld,1946,male,Warsaw,POINT (21.011111 52.23),Eastern Europe,Poland,Poland,1971-1995,5835,political-scientist,other
http://www.wikidata.org/entity/Q11715609,Jacek Szmatka,1950,male,Rzeszów,POINT (21.998889 50.041111),Eastern Europe,Poland,Poland,1971-1995,5829,university-teacher,university
http://www.wikidata.org/entity/Q11737860,Kazimierz Frieske,1945,male,Wolsztyn,POINT (16.116667 52.116667),Eastern Europe,Poland,Poland,1971-1995,5900,university-teacher,publisher
http://www.wikidata.org/entity/Q4495904,Yevgeny Kharitonov,1946,male,Mikhaylovskaya,POINT (40.596389 44.994722),European Russia,Russian Federation,Russian Federation,1971-1995,13214,politician,university
http://www.wikidata.org/entity/Q4493509,Dmitri Furman,1943,male,Moscow,POINT (37.6175 55.750556),European Russia,Russian Federation,Russian Federation,1971-1995,13204,university-teacher,publisher
http://www.wikidata.org/entity/Q4398649,D. G. Rotman,1944,male,Bogorodsk,POINT (43.507222 56.099722),European Russia,Russian Federation,Russian Federation,1971-1995,13131,political-scientist,university
http://www.wikidata.org/entity/Q4408686,Beatriz Sarlo,1942,female,Buenos Aires,POINT (-58.381944 -34.599722),South America,Argentina,South America,1971-1995,13140,university-teacher,university
http://www.wikidata.org/entity/Q44374305,Dagmar Schultz,1941,female,Berlin,POINT (13.383333 52.516667),Western Europe,Germany,Germany,1971-1995,13155,university-teacher,education
http://www.wikidata.org/entity/Q444495,Piotr Sztompka,1944,male,Warsaw,POINT (21.011111 52.23),Eastern Europe,Poland,Poland,1971-1995,13163,university-teacher,education
http://www.wikidata.org/entity/Q11768615,Marek Ziółkowski,1949,male,Poznań,POINT (16.933611 52.408333),Eastern Europe,Poland,Poland,1971-1995,5957,politician,publisher
http://www.wikidata.org/entity/Q44589956,Bruce G. Link,1949,male,Denver,POINT (-104.984722 39.739167),Northern America,United States,United States Can.,1971-1995,13178,university-teacher,education
http://www.wikidata.org/entity/Q44640710,Daniel Friedmann,1944,male,Grenoble,POINT (5.726389 45.186944),Western Europe,France,France,1971-1995,13184,other,publisher
http://www.wikidata.org/entity/Q4477132,Mark Urnov,1947,male,Moscow,POINT (37.6175 55.750556),European Russia,Russian Federation,Russian Federation,1971-1995,13189,political-scientist,education
http://www.wikidata.org/entity/Q447723,Jacques Wallage,1946,male,Apeldoorn,POINT (5.95 52.2167),Western Europe,Netherlands,Belgium Netherl.,1971-1995,13190,university-teacher,university
http://www.wikidata.org/entity/Q447776,Ignacio Ramonet,1943,male,Redondela,POINT (-8.6 42.283333),Southern Europe,Spain,Spain Port.,1971-1995,13191,writer,newspaper
http://www.wikidata.org/entity/Q4481553,Elmara Faustova,1941,female,Yavas,POINT (42.85 54.416667),European Russia,Russian Federation,Russian Federation,1971-1995,13196,writer,publisher
http://www.wikidata.org/entity/Q448913,Lena Kolarska-Bobińska,1947,female,Prague,POINT (14.421389 50.0875),Eastern Europe,Czechia,Czechia,1971-1995,13201,university-teacher,publisher
http://www.wikidata.org/entity/Q12018972,Hana Librová,1943,female,Brno,POINT (16.608333 49.195278),Eastern Europe,Czechia,Czechia,1971-1995,6206,university-teacher,publisher
http://www.wikidata.org/entity/Q3838150,Luca Giuliano,1947,male,Rivalta Bormida,POINT (8.552778 44.710833),Southern Europe,Italy,Italy,1971-1995,12719,university-teacher,organization
http://www.wikidata.org/entity/Q3838255,Luca Ricolfi,1950,male,Turin,POINT (7.676111 45.079167),Southern Europe,Italy,Italy,1971-1995,12720,university-teacher,publisher
http://www.wikidata.org/entity/Q1215723,Roberto Pazzi,1946,male,Ameglia,POINT (9.957542 44.067264),Southern Europe,Italy,Italy,1971-1995,6367,university-teacher,publisher
http://www.wikidata.org/entity/Q3839817,Luigi Manconi,1948,male,Sassari,POINT (8.559167 40.726667),Southern Europe,Italy,Italy,1971-1995,12724,politician,publisher
http://www.wikidata.org/entity/Q3846415,Marco Revelli,1947,male,Cuneo,POINT (7.55 44.383333),Southern Europe,Italy,Italy,1971-1995,12728,university-teacher,university
http://www.wikidata.org/entity/Q121707,Hans Peter Thurn,1943,male,Krefeld,POINT (6.566667 51.333333),Western Europe,Germany,Germany,1971-1995,6382,university-teacher,academy
http://www.wikidata.org/entity/Q3853889,Jonathan Dollimore,1948,male,Leighton Buzzard,POINT (-0.6617 51.9165),Northern Europe,United Kingdom,United Kingdom,1971-1995,12737,other,education
http://www.wikidata.org/entity/Q12123813,Nikolaj Mihalʹčenko,1942,male,Kosici,POINT (32.23 52.97083),European Russia,Russian Federation,Russian Federation,1971-1995,6337,university-teacher,education
http://www.wikidata.org/entity/Q3852952,Mauro Wolf,1947,male,Trento,POINT (11.116667 46.066667),Southern Europe,Italy,Italy,1971-1995,12736,university-teacher,publisher
http://www.wikidata.org/entity/Q121222,Helmut Willke,1945,male,Tailfingen,POINT (9.016667 48.256945),Western Europe,Germany,Germany,1971-1995,6335,university-teacher,publisher
http://www.wikidata.org/entity/Q38222385,Pierre Dubois,1944,male,Tourcoing,POINT (3.160278 50.7225),Western Europe,France,France,1971-1995,12702,other,publisher
http://www.wikidata.org/entity/Q12260477,Jokin Apalategi,1943,male,Ataun,POINT (-2.181277 42.978104),Southern Europe,Spain,Spain Port.,1971-1995,6430,university-teacher,publisher
http://www.wikidata.org/entity/Q3749286,Franca Bimbi,1947,female,Castelfiorentino,POINT (10.97 43.610833),Southern Europe,Italy,Italy,1971-1995,12656,university-teacher,university
http://www.wikidata.org/entity/Q3750070,Francesco Gnerre,1944,male,Santa Paolina,POINT (14.848055 41.022778),Southern Europe,Italy,Italy,1971-1995,12657,other,university
http://www.wikidata.org/entity/Q3751342,Franco Garelli,1945,male,Bra,POINT (7.85 44.7),Southern Europe,Italy,Italy,1971-1995,12661,university-teacher,publisher
