labelPer_x,labelPer_y,periodsActivity_x,periodsActivity_y,sum_edu_empl,sum_all_rel,orgs_number_edu,orgs_labels_edu,orgs_number_empl,orgs_labels_empl,orgs_number_memb,orgs_labels_memb,person_uri_x,person_uri_y
Claude Lévi-Strauss,Robert K. Merton,1946-1970,1946-1970,0,4,0,,0,,4,National Academy of Sciences|British Academy|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q128126,http://www.wikidata.org/entity/Q312843
Claude Lévi-Strauss,Ralf Dahrendorf,1946-1970,1971-1995,0,4,0,,0,,4,National Academy of Sciences|British Academy|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q128126,http://www.wikidata.org/entity/Q76959
Claude Lévi-Strauss,Robert A. Dahl,1946-1970,1946-1970,0,4,0,,0,,4,National Academy of Sciences|British Academy|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q128126,http://www.wikidata.org/entity/Q83907
Theda Skocpol,Harrison White,1971-1995,1971-1995,2,4,0,,2,Harvard University|University of Chicago,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q130064,http://www.wikidata.org/entity/Q1586301
Theda Skocpol,James Samuel Coleman,1971-1995,1971-1995,1,4,0,,1,University of Chicago,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q130064,http://www.wikidata.org/entity/Q1681079
Theda Skocpol,Clifford Geertz,1971-1995,1971-1995,1,4,0,,1,University of Chicago,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q130064,http://www.wikidata.org/entity/Q310956
Theda Skocpol,Stanley Lieberson,1971-1995,1971-1995,1,4,0,,1,Harvard University,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q130064,http://www.wikidata.org/entity/Q50882881
Theda Skocpol,Shmuel Eisenstadt,1971-1995,1946-1970,2,5,0,,2,Harvard University|University of Chicago,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q130064,http://www.wikidata.org/entity/Q677793
Theda Skocpol,Charles Tilly,1971-1995,1971-1995,1,4,0,,1,Harvard University,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q130064,http://www.wikidata.org/entity/Q717635
Theda Skocpol,Robert J. Sampson,1971-1995,1996-2020,2,4,0,,2,Harvard University|University of Chicago,2,American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q130064,http://www.wikidata.org/entity/Q749704
